posting_id,title,company,category,location,seniority,description,posted_date
1,Data Quality Analyst,Datavantis,Data Quality Analyst,"Berlin, Germany",Junior,"We are looking for a Data Quality Analyst to join our growing team. You will work closely with cross-functional stakeholders to partner with product and engineering teams and automate reporting workflows. Strong hands-on experience with data governance, data profiling, and data validation is required. Familiarity with Python is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-07-02
2,Data Analyst,Meridian Labs,Data Analyst,"London, UK",Entry,"Join Meridian Labs as a Data Analyst! In this role you'll translate business requirements into technical specifications and support experimentation and A/B testing to help drive business decisions. We're looking for someone proficient in A/B testing and Tableau, with working knowledge of stakeholder communication. Experience with data visualization is preferred but not required.",2026-07-09
3,Senior Data Scientist,BrightPath AI,Data Scientist,"Berlin, Germany",Junior,"Join BrightPath AI as a Senior Data Scientist! In this role you'll optimize database queries and build and maintain dashboards to help drive business decisions. We're looking for someone proficient in statistics and A/B testing, with working knowledge of machine learning. Experience with deep learning is preferred but not required.",2026-02-06
4,Data Engineer,Anchorpoint AI,Data Engineer,"Toronto, Canada",Entry,"Join Anchorpoint AI as a Data Engineer! In this role you'll conduct root-cause analysis and document functional specifications to help drive business decisions. We're looking for someone proficient in Docker and Python, with working knowledge of PostgreSQL. Experience with Spark is preferred but not required.",2026-01-11
5,Data Analyst,Pinegrove Solutions,Data Analyst,"London, UK",Mid,"Join Pinegrove Solutions as a Data Analyst! In this role you'll validate data quality and support experimentation and A/B testing to help drive business decisions. We're looking for someone proficient in Excel and Tableau, with working knowledge of stakeholder communication. Experience with data visualization is preferred but not required.",2026-04-11
6,Applied Data Scientist,Anchorpoint AI,Data Scientist,"Bengaluru, India",Junior,"Anchorpoint AI is hiring a Applied Data Scientist to support our data and analytics function. Responsibilities include optimize database queries, validate data quality, and collaborating with engineering and product teams. Ideal candidates have practical experience with deep learning, statistics, and scikit-learn, along with a solid foundation in XGBoost.",2026-06-26
7,Data Scientist,Skylark Data,Data Scientist,"New York, USA",Senior,"As a Data Scientist at Skylark Data, you will translate business requirements into technical specifications, conduct root-cause analysis, and partner with stakeholders across the business. Core requirements include SQL, machine learning, and statistics. Bonus points for exposure to A/B testing.",2026-01-27
8,ML Engineer,Quanta Systems,ML Engineer,Remote,Junior,"Join Quanta Systems as a ML Engineer! In this role you'll document functional specifications and optimize database queries to help drive business decisions. We're looking for someone proficient in deep learning and feature engineering, with working knowledge of Docker. Experience with AWS is preferred but not required.",2026-06-05
9,Business Systems Analyst,Northbridge Analytics,Business Analyst,"Kathmandu, Nepal",Entry,"As a Business Systems Analyst at Northbridge Analytics, you will build and maintain dashboards, optimize database queries, and partner with stakeholders across the business. Core requirements include Jira, Agile, and process mapping. Bonus points for exposure to Excel.",2026-03-13
10,Business Systems Analyst,Lumen Analytics,Business Analyst,"Kathmandu, Nepal",Entry,"Lumen Analytics is hiring a Business Systems Analyst to support our data and analytics function. Responsibilities include validate data quality, optimize database queries, and collaborating with engineering and product teams. Ideal candidates have practical experience with data validation, Excel, and functional specifications, along with a solid foundation in SQL.",2026-05-04
11,Business Analyst,Lumen Analytics,Business Analyst,"Bengaluru, India",Mid,"We are looking for a Business Analyst to join our growing team. You will work closely with cross-functional stakeholders to design data pipelines and automate reporting workflows. Strong hands-on experience with data validation, stakeholder communication, and Jira is required. Familiarity with UAT is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-03-07
12,Data Analyst,Havenwood Tech,Data Analyst,"New York, USA",Mid,"We are looking for a Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to build and maintain dashboards and support experimentation and A/B testing. Strong hands-on experience with Tableau, SQL, and stakeholder communication is required. Familiarity with Excel is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-02-24
13,Data Scientist II,Pinegrove Solutions,Data Scientist,"Toronto, Canada",Junior,"Join Pinegrove Solutions as a Data Scientist II! In this role you'll automate reporting workflows and translate business requirements into technical specifications to help drive business decisions. We're looking for someone proficient in SQL and deep learning, with working knowledge of feature engineering. Experience with statistics is preferred but not required.",2026-01-20
14,Data Governance Analyst,Orbit Data Co,Data Quality Analyst,"Dublin, Ireland",Senior,"Orbit Data Co is hiring a Data Governance Analyst to support our data and analytics function. Responsibilities include develop predictive models, analyze large datasets, and collaborating with engineering and product teams. Ideal candidates have practical experience with data validation, data governance, and Excel, along with a solid foundation in SQL.",2026-07-09
15,Data Analyst,Meridian Labs,Data Analyst,"Bengaluru, India",Entry,"As a Data Analyst at Meridian Labs, you will validate data quality, conduct root-cause analysis, and partner with stakeholders across the business. Core requirements include pandas, Excel, and A/B testing. Bonus points for exposure to Tableau.",2026-06-07
16,Data Quality Specialist,Kestrel Technologies,Data Quality Analyst,"Toronto, Canada",Junior,"As a Data Quality Specialist at Kestrel Technologies, you will build and maintain dashboards, conduct root-cause analysis, and partner with stakeholders across the business. Core requirements include metadata management, data cleansing, and data governance. Bonus points for exposure to SQL.",2026-03-27
17,Machine Learning Engineer,Pinegrove Solutions,ML Engineer,"Bengaluru, India",Entry,"As a Machine Learning Engineer at Pinegrove Solutions, you will translate business requirements into technical specifications, partner with product and engineering teams, and partner with stakeholders across the business. Core requirements include AWS, Kubernetes, and PyTorch. Bonus points for exposure to MLOps.",2026-05-25
18,ETL Developer,Meridian Labs,Data Engineer,"Bengaluru, India",Senior,"Meridian Labs is hiring a ETL Developer to support our data and analytics function. Responsibilities include analyze large datasets, build and maintain dashboards, and collaborating with engineering and product teams. Ideal candidates have practical experience with PostgreSQL, Python, and SQL, along with a solid foundation in Kafka.",2026-03-08
19,ML Engineer,Fieldstone Group,ML Engineer,Singapore,Entry,"Join Fieldstone Group as a ML Engineer! In this role you'll validate data quality and support experimentation and A/B testing to help drive business decisions. We're looking for someone proficient in TensorFlow and AWS, with working knowledge of Python. Experience with CI/CD is preferred but not required.",2026-02-18
20,Data Quality Specialist,Orbit Data Co,Data Quality Analyst,Remote,Junior,"We are looking for a Data Quality Specialist to join our growing team. You will work closely with cross-functional stakeholders to partner with product and engineering teams and automate reporting workflows. Strong hands-on experience with ETL, data governance, and SQL is required. Familiarity with reporting is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-06-26
21,Data Analyst II,Lumen Analytics,Data Analyst,"Dublin, Ireland",Junior,"We are looking for a Data Analyst II to join our growing team. You will work closely with cross-functional stakeholders to build and maintain dashboards and document functional specifications. Strong hands-on experience with SQL, A/B testing, and Excel is required. Familiarity with Power BI is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-05-11
22,Machine Learning Engineer,Havenwood Tech,ML Engineer,"Sydney, Australia",Junior,"Join Havenwood Tech as a Machine Learning Engineer! In this role you'll optimize database queries and conduct root-cause analysis to help drive business decisions. We're looking for someone proficient in CI/CD and feature engineering, with working knowledge of Python. Experience with PyTorch is preferred but not required.",2026-05-19
23,Data Quality Specialist,BrightPath AI,Data Quality Analyst,"London, UK",Mid,"We are looking for a Data Quality Specialist to join our growing team. You will work closely with cross-functional stakeholders to develop predictive models and build and maintain dashboards. Strong hands-on experience with data cleansing, data profiling, and ETL is required. Familiarity with data governance is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-02-16
24,Data Analyst,Lumen Analytics,Data Analyst,"London, UK",Mid,"Lumen Analytics is hiring a Data Analyst to support our data and analytics function. Responsibilities include develop predictive models, validate data quality, and collaborating with engineering and product teams. Ideal candidates have practical experience with Power BI, pandas, and Excel, along with a solid foundation in Tableau.",2026-02-21
25,Data Governance Analyst,Kestrel Technologies,Data Quality Analyst,"Dublin, Ireland",Entry,"We are looking for a Data Governance Analyst to join our growing team. You will work closely with cross-functional stakeholders to validate data quality and build and maintain dashboards. Strong hands-on experience with Excel, ETL, and data validation is required. Familiarity with metadata management is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-06-01
26,Senior Data Engineer,Kestrel Technologies,Data Engineer,"London, UK",Mid,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to support experimentation and A/B testing and validate data quality. Strong hands-on experience with Airflow, data pipelines, and Spark is required. Familiarity with PostgreSQL is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-03-24
27,Data Engineer,Datavantis,Data Engineer,"New York, USA",Junior,"We are looking for a Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to automate reporting workflows and optimize database queries. Strong hands-on experience with data pipelines, Spark, and ETL is required. Familiarity with data modeling is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-01-15
28,Data Scientist,Fieldstone Group,Data Scientist,"New York, USA",Junior,"Join Fieldstone Group as a Data Scientist! In this role you'll develop predictive models and analyze large datasets to help drive business decisions. We're looking for someone proficient in feature engineering and scikit-learn, with working knowledge of Python. Experience with SQL is preferred but not required.",2026-05-08
29,Data Quality Analyst,BrightPath AI,Data Quality Analyst,"Dublin, Ireland",Senior,"As a Data Quality Analyst at BrightPath AI, you will design data pipelines, partner with product and engineering teams, and partner with stakeholders across the business. Core requirements include reporting, data profiling, and data governance. Bonus points for exposure to data cleansing.",
30,ETL Developer,Skylark Data,Data Engineer,"London, UK",Mid,"Skylark Data is hiring a ETL Developer to support our data and analytics function. Responsibilities include support experimentation and A/B testing, translate business requirements into technical specifications, and collaborating with engineering and product teams. Ideal candidates have practical experience with ETL, Python, and Docker, along with a solid foundation in SQL.",2026-03-15
31,Senior Data Engineer,Fieldstone Group,Data Engineer,"London, UK",Junior,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to develop predictive models and validate data quality. Strong hands-on experience with SQL, data pipelines, and Airflow is required. Familiarity with Docker is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-04-30
32,ETL Developer,Pinegrove Solutions,Data Engineer,"Dublin, Ireland",Mid,"We are looking for a ETL Developer to join our growing team. You will work closely with cross-functional stakeholders to document functional specifications and validate data quality. Strong hands-on experience with SQL, Python, and Spark is required. Familiarity with ETL is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-03-21
33,Senior Data Engineer,Vertex Insights,Data Engineer,"Sydney, Australia",Entry,"We are looking for a Senior Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to analyze large datasets and optimize database queries. Strong hands-on experience with Docker, Redshift, and Airflow is required. Familiarity with Spark is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-02-23
34,Data Quality Specialist,Anchorpoint AI,Data Quality Analyst,"London, UK",Mid,"We are looking for a Data Quality Specialist to join our growing team. You will work closely with cross-functional stakeholders to develop predictive models and conduct root-cause analysis. Strong hands-on experience with data cleansing, data validation, and Python is required. Familiarity with ETL is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-04-25
35,Business Systems Analyst,Pinegrove Solutions,Business Analyst,Singapore,Mid,"As a Business Systems Analyst at Pinegrove Solutions, you will optimize database queries, conduct root-cause analysis, and partner with stakeholders across the business. Core requirements include process mapping, Excel, and Jira. Bonus points for exposure to requirements gathering.",2026-05-27
36,Junior Business Analyst,Quanta Systems,Business Analyst,Singapore,Entry,"Join Quanta Systems as a Junior Business Analyst! In this role you'll document functional specifications and partner with product and engineering teams to help drive business decisions. We're looking for someone proficient in Excel and Agile, with working knowledge of stakeholder communication. Experience with UAT is preferred but not required.",2026-03-19
37,Data Quality Analyst,Lumen Analytics,Data Quality Analyst,"Toronto, Canada",Junior,"Join Lumen Analytics as a Data Quality Analyst! In this role you'll translate business requirements into technical specifications and conduct root-cause analysis to help drive business decisions. We're looking for someone proficient in data validation and ETL, with working knowledge of Python. Experience with SQL is preferred but not required.",2026-05-21
38,Data Scientist,Datavantis,Data Scientist,"London, UK",Senior,"Datavantis is hiring a Data Scientist to support our data and analytics function. Responsibilities include conduct root-cause analysis, document functional specifications, and collaborating with engineering and product teams. Ideal candidates have practical experience with pandas, machine learning, and XGBoost, along with a solid foundation in feature engineering.",2026-04-03
39,,Meridian Labs,ML Engineer,Remote,Entry,"As a AI Engineer at Meridian Labs, you will partner with product and engineering teams, automate reporting workflows, and partner with stakeholders across the business. Core requirements include PyTorch, AWS, and MLOps. Bonus points for exposure to TensorFlow.",2026-06-09
40,ML Engineer,Skylark Data,ML Engineer,"Toronto, Canada",Mid,"Skylark Data is hiring a ML Engineer to support our data and analytics function. Responsibilities include automate reporting workflows, support experimentation and A/B testing, and collaborating with engineering and product teams. Ideal candidates have practical experience with model deployment, CI/CD, and deep learning, along with a solid foundation in AWS.",2026-03-11
41,Applied ML Engineer,Skylark Data,ML Engineer,"London, UK",Mid,"Join Skylark Data as a Applied ML Engineer! In this role you'll support experimentation and A/B testing and build and maintain dashboards to help drive business decisions. We're looking for someone proficient in deep learning and model deployment, with working knowledge of MLOps. Experience with Docker is preferred but not required.",2026-04-16
42,Data Engineer,Clarion Health,Data Engineer,Remote,Junior,"Join Clarion Health as a Data Engineer! In this role you'll optimize database queries and partner with product and engineering teams to help drive business decisions. We're looking for someone proficient in Docker and ETL, with working knowledge of Airflow. Experience with Python is preferred but not required.",2026-03-26
43,Junior Data Analyst,Fieldstone Group,Data Analyst,Singapore,Senior,"Join Fieldstone Group as a Junior Data Analyst! In this role you'll support experimentation and A/B testing and analyze large datasets to help drive business decisions. We're looking for someone proficient in reporting and SQL, with working knowledge of stakeholder communication. Experience with data visualization is preferred but not required.",2026-04-02
44,ML Engineer,Orbit Data Co,ML Engineer,"London, UK",Mid,"As a ML Engineer at Orbit Data Co, you will develop predictive models, conduct root-cause analysis, and partner with stakeholders across the business. Core requirements include AWS, model deployment, and Python. Bonus points for exposure to feature engineering.",2026-03-13
45,Data Scientist,Havenwood Tech,Data Scientist,Singapore,Entry,"Join Havenwood Tech as a Data Scientist! In this role you'll design data pipelines and analyze large datasets to help drive business decisions. We're looking for someone proficient in machine learning and feature engineering, with working knowledge of scikit-learn. Experience with XGBoost is preferred but not required.",2026-05-17
46,Applied ML Engineer,BrightPath AI,ML Engineer,Singapore,Mid,"We are looking for a Applied ML Engineer to join our growing team. You will work closely with cross-functional stakeholders to analyze large datasets and automate reporting workflows. Strong hands-on experience with AWS, Docker, and PyTorch is required. Familiarity with model deployment is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-04-12
47,Data Scientist,Skylark Data,Data Scientist,"Kathmandu, Nepal",Entry,"As a Data Scientist at Skylark Data, you will translate business requirements into technical specifications, design data pipelines, and partner with stakeholders across the business. Core requirements include statistics, experimentation, and Python. Bonus points for exposure to scikit-learn.",2026-02-16
48,Senior Data Scientist,Anchorpoint AI,Data Scientist,"Berlin, Germany",Mid,"We are looking for a Senior Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to validate data quality and build and maintain dashboards. Strong hands-on experience with scikit-learn, pandas, and machine learning is required. Familiarity with experimentation is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-02-13
49,Data Governance Analyst,Vertex Insights,Data Quality Analyst,"London, UK",Entry,"We are looking for a Data Governance Analyst to join our growing team. You will work closely with cross-functional stakeholders to validate data quality and conduct root-cause analysis. Strong hands-on experience with reporting, data governance, and data validation is required. Familiarity with Python is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-02-16
50,Business Data Analyst,Lumen Analytics,Data Analyst,Singapore,Mid,"We are looking for a Business Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to optimize database queries and support experimentation and A/B testing. Strong hands-on experience with Excel, A/B testing, and pandas is required. Familiarity with SQL is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-04-09
51,Data Governance Analyst,Anchorpoint AI,Data Quality Analyst,Remote,Senior,"As a Data Governance Analyst at Anchorpoint AI, you will automate reporting workflows, support experimentation and A/B testing, and partner with stakeholders across the business. Core requirements include data profiling, Excel, and ETL. Bonus points for exposure to metadata management.",2026-02-09
52,Senior Data Engineer,Fieldstone Group,Data Engineer,"London, UK",Entry,"As a Senior Data Engineer at Fieldstone Group, you will document functional specifications, partner with product and engineering teams, and partner with stakeholders across the business. Core requirements include Spark, data modeling, and Airflow. Bonus points for exposure to data pipelines.",2026-03-06
53,Junior Data Engineer,Orbit Data Co,Data Engineer,"London, UK",Mid,"Orbit Data Co is hiring a Junior Data Engineer to support our data and analytics function. Responsibilities include automate reporting workflows, analyze large datasets, and collaborating with engineering and product teams. Ideal candidates have practical experience with Spark, AWS, and Kafka, along with a solid foundation in Redshift.",2026-03-28
54,ML Engineer,Anchorpoint AI,ML Engineer,"Toronto, Canada",Senior,"Anchorpoint AI is hiring a ML Engineer to support our data and analytics function. Responsibilities include translate business requirements into technical specifications, optimize database queries, and collaborating with engineering and product teams. Ideal candidates have practical experience with model deployment, Python, and PyTorch, along with a solid foundation in Docker.",2026-02-12
55,ETL Developer,Lumen Analytics,Data Engineer,"Dublin, Ireland",Mid,"Join Lumen Analytics as a ETL Developer! In this role you'll partner with product and engineering teams and support experimentation and A/B testing to help drive business decisions. We're looking for someone proficient in Docker and PostgreSQL, with working knowledge of AWS. Experience with Redshift is preferred but not required.",2026-05-12
56,Junior Data Analyst,BrightPath AI,Data Analyst,"Bengaluru, India",Junior,"Join BrightPath AI as a Junior Data Analyst! In this role you'll partner with product and engineering teams and document functional specifications to help drive business decisions. We're looking for someone proficient in Tableau and stakeholder communication, with working knowledge of statistics. Experience with Python is preferred but not required.",2026-05-22
57,Junior Data Engineer,BrightPath AI,Data Engineer,Remote,Mid,"Join BrightPath AI as a Junior Data Engineer! In this role you'll analyze large datasets and partner with product and engineering teams to help drive business decisions. We're looking for someone proficient in SQL and PostgreSQL, with working knowledge of ETL. Experience with Spark is preferred but not required.",2026-06-08
58,Data Governance Analyst,Northbridge Analytics,Data Quality Analyst,"Kathmandu, Nepal",Mid,"Join Northbridge Analytics as a Data Governance Analyst! In this role you'll design data pipelines and analyze large datasets to help drive business decisions. We're looking for someone proficient in metadata management and reporting, with working knowledge of Excel. Experience with data profiling is preferred but not required.",2026-03-10
59,Data Analyst,Vertex Insights,Data Analyst,"Toronto, Canada",Entry,"Join Vertex Insights as a Data Analyst! In this role you'll design data pipelines and document functional specifications to help drive business decisions. We're looking for someone proficient in reporting and data cleaning, with working knowledge of SQL. Experience with Power BI is preferred but not required.",2026-05-08
60,Data Analyst II,Kestrel Technologies,Data Analyst,"Sydney, Australia",Junior,"As a Data Analyst II at Kestrel Technologies, you will validate data quality, document functional specifications, and partner with stakeholders across the business. Core requirements include A/B testing, data visualization, and statistics. Bonus points for exposure to reporting.",2026-02-02
61,Data Analyst,Skylark Data,Data Analyst,"London, UK",Junior,"We are looking for a Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to translate business requirements into technical specifications and design data pipelines. Strong hands-on experience with Python, data cleaning, and Excel is required. Familiarity with Power BI is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-03-28
62,AI Engineer,Quanta Systems,ML Engineer,"Kathmandu, Nepal",Junior,"Join Quanta Systems as a AI Engineer! In this role you'll conduct root-cause analysis and translate business requirements into technical specifications to help drive business decisions. We're looking for someone proficient in Docker and feature engineering, with working knowledge of model deployment. Experience with PyTorch is preferred but not required.",2026-01-31
63,Junior Business Analyst,Skylark Data,Business Analyst,"London, UK",Senior,"Skylark Data is hiring a Junior Business Analyst to support our data and analytics function. Responsibilities include design data pipelines, validate data quality, and collaborating with engineering and product teams. Ideal candidates have practical experience with requirements gathering, data validation, and stakeholder communication, along with a solid foundation in functional specifications.",2026-05-29
64,Senior Data Engineer,Orbit Data Co,Data Engineer,"Bengaluru, India",Senior,"As a Senior Data Engineer at Orbit Data Co, you will automate reporting workflows, partner with product and engineering teams, and partner with stakeholders across the business. Core requirements include Kafka, Spark, and Docker. Bonus points for exposure to data pipelines.",2026-02-07
65,Data Analyst II,Anchorpoint AI,Data Analyst,"New York, USA",Mid,"We are looking for a Data Analyst II to join our growing team. You will work closely with cross-functional stakeholders to conduct root-cause analysis and validate data quality. Strong hands-on experience with SQL, Excel, and Tableau is required. Familiarity with stakeholder communication is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-05-27
66,AI Engineer,Havenwood Tech,ML Engineer,"Berlin, Germany",Junior,"As a AI Engineer at Havenwood Tech, you will support experimentation and A/B testing, develop predictive models, and partner with stakeholders across the business. Core requirements include CI/CD, AWS, and model deployment. Bonus points for exposure to PyTorch.",2026-01-20
67,Junior Data Analyst,BrightPath AI,Data Analyst,Singapore,Senior,"We are looking for a Junior Data Analyst to join our growing team. You will work closely with cross-functional stakeholders to analyze large datasets and support experimentation and A/B testing. Strong hands-on experience with Python, data cleaning, and data visualization is required. Familiarity with A/B testing is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-04-19
68,Data Analyst II,Fieldstone Group,Data Analyst,"Dublin, Ireland",Entry,"Join Fieldstone Group as a Data Analyst II! In this role you'll analyze large datasets and translate business requirements into technical specifications to help drive business decisions. We're looking for someone proficient in data cleaning and A/B testing, with working knowledge of statistics. Experience with data visualization is preferred but not required.",2026-03-05
69,Data Governance Analyst,Skylark Data,Data Quality Analyst,"Kathmandu, Nepal",Junior,"We are looking for a Data Governance Analyst to join our growing team. You will work closely with cross-functional stakeholders to support experimentation and A/B testing and partner with product and engineering teams. Strong hands-on experience with ETL, Excel, and data profiling is required. Familiarity with metadata management is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",
70,Business Analyst,Anchorpoint AI,Business Analyst,Remote,Mid,"As a Business Analyst at Anchorpoint AI, you will translate business requirements into technical specifications, build and maintain dashboards, and partner with stakeholders across the business. Core requirements include data validation, SQL, and process mapping. Bonus points for exposure to Agile.",2026-01-26
71,Senior Data Scientist,Havenwood Tech,Data Scientist,"Berlin, Germany",Mid,"Havenwood Tech is hiring a Senior Data Scientist to support our data and analytics function. Responsibilities include support experimentation and A/B testing, automate reporting workflows, and collaborating with engineering and product teams. Ideal candidates have practical experience with feature engineering, XGBoost, and pandas, along with a solid foundation in statistics.",2026-02-07
72,Junior Business Analyst,Havenwood Tech,Business Analyst,Remote,Entry,"We are looking for a Junior Business Analyst to join our growing team. You will work closely with cross-functional stakeholders to automate reporting workflows and validate data quality. Strong hands-on experience with Excel, process mapping, and functional specifications is required. Familiarity with data validation is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-04-25
73,Junior Business Analyst,Pinegrove Solutions,Business Analyst,"Toronto, Canada",Junior,"As a Junior Business Analyst at Pinegrove Solutions, you will develop predictive models, automate reporting workflows, and partner with stakeholders across the business. Core requirements include UAT, data validation, and Agile. Bonus points for exposure to Jira.",2026-04-19
74,Data Scientist II,Kestrel Technologies,Data Scientist,Singapore,Junior,"As a Data Scientist II at Kestrel Technologies, you will partner with product and engineering teams, optimize database queries, and partner with stakeholders across the business. Core requirements include feature engineering, Python, and A/B testing. Bonus points for exposure to XGBoost.",2026-01-25
75,Senior Data Scientist,Datavantis,Data Scientist,Remote,Mid,"As a Senior Data Scientist at Datavantis, you will analyze large datasets, design data pipelines, and partner with stakeholders across the business. Core requirements include machine learning, XGBoost, and experimentation. Bonus points for exposure to pandas.",2026-06-01
76,Data Analyst II,Skylark Data,Data Analyst,"Berlin, Germany",Mid,"As a Data Analyst II at Skylark Data, you will conduct root-cause analysis, automate reporting workflows, and partner with stakeholders across the business. Core requirements include reporting, data visualization, and Excel. Bonus points for exposure to pandas.",2026-01-31
77,Data Governance Analyst,Fieldstone Group,Data Quality Analyst,"Dublin, Ireland",Entry,"Fieldstone Group is hiring a Data Governance Analyst to support our data and analytics function. Responsibilities include conduct root-cause analysis, validate data quality, and collaborating with engineering and product teams. Ideal candidates have practical experience with reporting, data validation, and data governance, along with a solid foundation in Python.",2026-03-21
78,Data Analyst,Orbit Data Co,Data Analyst,Remote,Mid,"Join Orbit Data Co as a Data Analyst! In this role you'll validate data quality and develop predictive models to help drive business decisions. We're looking for someone proficient in SQL and stakeholder communication, with working knowledge of pandas. Experience with data cleaning is preferred but not required.",2026-05-09
79,Business Systems Analyst,Kestrel Technologies,Business Analyst,Remote,Junior,"As a Business Systems Analyst at Kestrel Technologies, you will conduct root-cause analysis, translate business requirements into technical specifications, and partner with stakeholders across the business. Core requirements include Jira, requirements gathering, and process mapping. Bonus points for exposure to Excel.",2026-06-04
80,Senior Data Scientist,Pinegrove Solutions,Data Scientist,"Berlin, Germany",Senior,"Pinegrove Solutions is hiring a Senior Data Scientist to support our data and analytics function. Responsibilities include conduct root-cause analysis, automate reporting workflows, and collaborating with engineering and product teams. Ideal candidates have practical experience with SQL, Python, and XGBoost, along with a solid foundation in experimentation.",2026-04-13
81,Business Systems Analyst,Pinegrove Solutions,Business Analyst,Singapore,Mid,"Pinegrove Solutions is hiring a Business Systems Analyst to support our data and analytics function. Responsibilities include support experimentation and A/B testing, build and maintain dashboards, and collaborating with engineering and product teams. Ideal candidates have practical experience with UAT, Excel, and stakeholder communication, along with a solid foundation in Agile.",2026-04-10
82,Business Systems Analyst,Anchorpoint AI,Business Analyst,"Berlin, Germany",Entry,"As a Business Systems Analyst at Anchorpoint AI, you will conduct root-cause analysis, analyze large datasets, and partner with stakeholders across the business. Core requirements include process mapping, Excel, and SQL. Bonus points for exposure to data validation.",2026-04-28
83,Applied Data Scientist,Meridian Labs,Data Scientist,"London, UK",Mid,"We are looking for a Applied Data Scientist to join our growing team. You will work closely with cross-functional stakeholders to validate data quality and support experimentation and A/B testing. Strong hands-on experience with experimentation, scikit-learn, and machine learning is required. Familiarity with Python is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-06-07
84,Business Data Analyst,BrightPath AI,Data Analyst,Singapore,Junior,"Join BrightPath AI as a Business Data Analyst! In this role you'll automate reporting workflows and partner with product and engineering teams to help drive business decisions. We're looking for someone proficient in Tableau and Power BI, with working knowledge of A/B testing. Experience with pandas is preferred but not required.",2026-05-06
85,Applied ML Engineer,Anchorpoint AI,ML Engineer,"New York, USA",Entry,"As a Applied ML Engineer at Anchorpoint AI, you will conduct root-cause analysis, partner with product and engineering teams, and partner with stakeholders across the business. Core requirements include model deployment, PyTorch, and TensorFlow. Bonus points for exposure to MLOps.",2026-02-18
86,Data Engineer,Skylark Data,Data Engineer,Singapore,Entry,"Join Skylark Data as a Data Engineer! In this role you'll develop predictive models and conduct root-cause analysis to help drive business decisions. We're looking for someone proficient in Spark and PostgreSQL, with working knowledge of Python. Experience with data modeling is preferred but not required.",2026-01-28
87,Data Engineer,Pinegrove Solutions,Data Engineer,"London, UK",Senior,"We are looking for a Data Engineer to join our growing team. You will work closely with cross-functional stakeholders to document functional specifications and translate business requirements into technical specifications. Strong hands-on experience with SQL, Redshift, and PostgreSQL is required. Familiarity with AWS is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-03-14
88,Data Governance Analyst,Pinegrove Solutions,Data Quality Analyst,Singapore,Entry,"We are looking for a Data Governance Analyst to join our growing team. You will work closely with cross-functional stakeholders to support experimentation and A/B testing and build and maintain dashboards. Strong hands-on experience with data profiling, SQL, and Excel is required. Familiarity with reporting is a plus. This is a great opportunity to grow your career in a fast-paced, data-driven environment.",2026-02-23
